N,FECHA,POSITIVOS,SOSPECHOSOS,DESCARTADOS,RECUPERADOS,DECESOS,ACTIVOS,TOTAL CASOS,REFERIDOS,NOTA,FECHA1,POSITIVOS POR DIA,sospechosos Acumulados,Descartado por dia,Recuperados por dia,Desesos por dia,Referidos por dia,Poblacion Llallagua dato del ine según censo 2012,SUCEPTIBLES,INFECTADOS,RECUPERADOS Y FALLECIDOS,EXPUESTOS
0,16-05-20,1,0,0,0,0,0,0,0,1 caso detectado en Cochabamba,16/05/20,1,0,0,0,0,0,41104,41104,0,0,0
1,18-05-20,3,14,9,0,0,3,3,0,,18/05/20,2,14,9,0,0,0,41104,41101,3,0,24
2,19-05-20,3,17,12,0,0,2,3,0,,19/05/20,0,31,3,0,0,0,41104,41102,2,0,16
3,20-05-20,5,39,27,0,0,4,5,0,,20/05/20,2,70,15,0,0,0,41104,41100,4,0,32
4,21-05-20,5,40,27,0,0,4,5,0,,21/05/20,0,110,0,0,0,0,41104,41100,4,0,32
5,22-05-20,5,20,49,0,0,4,5,0,,22/05/20,0,130,22,0,0,0,41104,41100,4,0,32
6,23-05-20,5,0,49,0,0,4,5,0,,23/05/20,0,130,0,0,0,0,41104,41100,4,0,32
7,24-05-20,5,2,68,0,0,4,5,0,,24/05/20,0,132,19,0,0,0,41104,41100,4,0,32
8,25-05-20,6,18,79,0,0,5,6,0,1 FALLECIDO LA PAZ Dr. Patiño,25/05/20,1,150,11,0,0,0,41104,41099,5,0,40
9,26-05-20,7,0,85,0,0,6,7,0,,26/05/20,1,150,6,0,0,0,41104,41098,6,0,48
10,27-05-20,7,24,85,0,0,6,7,0,,27/05/20,0,174,0,0,0,0,41104,41098,6,0,48
11,28-05-20,7,0,98,0,0,6,7,0,,28/05/20,0,174,13,0,0,0,41104,41098,6,0,48
12,29-05-20,9,3,105,0,0,8,9,1,,29/05/20,2,177,7,0,0,1,41104,41096,8,0,64
13,30-05-20,9,9,105,0,0,7,9,2,,30/05/20,0,186,0,0,0,1,41104,41097,7,0,56
14,31-05-20,10,18,105,0,0,8,10,2,,31/05/20,1,204,0,0,0,0,41104,41096,8,0,64
15,01-06-20,10,12,105,0,0,8,10,2,espera de resultados,01/06/20,0,216,0,0,0,0,41104,41096,8,0,64
16,02-06-20,29,43,120,3,0,24,29,2,,02/06/20,19,259,15,3,0,0,41104,41077,24,3,192
17,03-06-20,29,32,121,3,1,23,29,2,,03/06/20,0,291,1,0,1,0,41104,41077,23,4,184
